DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LONG_CPI,1.0",A.MK.628,A:Annual,MK:North Macedonia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2019-12-31,F:Free,,A:Normal value,113.426119
"BIS,WS_LONG_CPI,1.0",A.MK.628,A:Annual,MK:North Macedonia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2020-12-31,F:Free,,A:Normal value,114.776231
"BIS,WS_LONG_CPI,1.0",A.MK.628,A:Annual,MK:North Macedonia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2021-12-31,F:Free,,A:Normal value,118.47654
"BIS,WS_LONG_CPI,1.0",A.MK.628,A:Annual,MK:North Macedonia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2022-12-31,F:Free,,A:Normal value,135.311276
"BIS,WS_LONG_CPI,1.0",A.MK.628,A:Annual,MK:North Macedonia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2023-12-31,F:Free,,A:Normal value,147.978998
"BIS,WS_LONG_CPI,1.0",A.MK.628,A:Annual,MK:North Macedonia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2024-12-31,F:Free,,A:Normal value,153.137761
"BIS,WS_LONG_CPI,1.0",A.RU.628,A:Annual,RU:Russia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2014-12-31,F:Free,,A:Normal value,131.156686
"BIS,WS_LONG_CPI,1.0",A.RU.628,A:Annual,RU:Russia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2015-12-31,F:Free,,A:Normal value,151.52051
"BIS,WS_LONG_CPI,1.0",A.RU.628,A:Annual,RU:Russia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2016-12-31,F:Free,,A:Normal value,162.202351
"BIS,WS_LONG_CPI,1.0",A.RU.628,A:Annual,RU:Russia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2017-12-31,F:Free,,A:Normal value,168.159853
"BIS,WS_LONG_CPI,1.0",A.RU.628,A:Annual,RU:Russia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2018-12-31,F:Free,,A:Normal value,173.000844
"BIS,WS_LONG_CPI,1.0",A.RU.628,A:Annual,RU:Russia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2019-12-31,F:Free,,A:Normal value,180.708101
"BIS,WS_LONG_CPI,1.0",A.RU.628,A:Annual,RU:Russia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2020-12-31,F:Free,,A:Normal value,186.815581
"BIS,WS_LONG_CPI,1.0",A.RU.628,A:Annual,RU:Russia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2021-12-31,F:Free,,A:Normal value,199.313836
"BIS,WS_LONG_CPI,1.0",A.RU.628,A:Annual,RU:Russia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2022-12-31,F:Free,,A:Normal value,226.735007
"BIS,WS_LONG_CPI,1.0",A.RU.628,A:Annual,RU:Russia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2023-12-31,F:Free,,A:Normal value,240.041483
"BIS,WS_LONG_CPI,1.0",A.RU.628,A:Annual,RU:Russia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2024-12-31,F:Free,,A:Normal value,260.346981
