DATASET,SERIES_CODE,OBS_MEASURE,SCALE,DECIMALS_DISPLAYED,OVERLAP,COMMON_REFERENCE_PERIOD,IFS_FLAG,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
IMF.STA:CPI(4.0.0),ZAF.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,105.0008533879502,111.0257723160949,117.4432497013142,124.6458440006827,130.2782044717528,138.8803550093873,146.0829493087558,152.6711042840075,158.9349718381977,164.0723672981737,171.6504522956136,183.7344256699095,194.8967400580304,203.3964840416454
IMF.STA:CPI(4.0.0),ECU.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,104.4745326579584,109.8045326760332,112.7931658485714,116.8415609032661,121.4762522768923,123.5756833827857,124.0914086884803,123.8133158135954,124.1426747294732,123.7219894774268,123.8868507433115,128.1809792534775,131.0210693706664,133.0483913369003
IMF.STA:CPI(4.0.0),CRI.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,104.877998309707,109.5927395816089,115.3259041760693,120.5377135737499,121.5044043459699,121.483166772673,123.4583699999129,126.2005218997499,128.8457433368475,129.77976091938,132.0203793575145,142.9447685745464,143.6955052201168,143.1022540144458
IMF.STA:CPI(4.0.0),CHL.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.341216942593,106.4491507202752,108.3541173941088,113.4669963448721,118.4014190496667,122.8843259514083,125.566544829069,128.6239518383143,131.9135669748441,135.9309825843904,142.0812728445496,158.6250268759407,170.651472801548,177.9854569069256
IMF.STA:CPI(4.0.0),DOM.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,105.7967680920653,109.705426598742,115.005241966313,118.4538377545702,119.4449959145366,121.373036513831,125.3535343643448,129.8216786895177,132.1722348987051,137.1697091298792,148.4766130267115,161.5590241367592,169.2906134919004,174.8809846559401
IMF.STA:CPI(4.0.0),BRA.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,106.6364496221309,112.3985492607838,119.3721044414506,126.9272128656112,138.3886145601025,150.4825942064079,155.6687862300178,161.3738141839057,167.3978602800606,172.774291252888,187.1174250582957,204.4821206157748,213.8751352877196,223.2160549900265
IMF.STA:CPI(4.0.0),NIC.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,108.082387980991,115.8573491780978,124.1243130839162,131.6164176689499,136.8776259820578,141.700061784993,147.1564659103848,154.4366454524208,162.7396072368145,168.7313759296214,177.047156631849,195.5794339871397,211.9839691015107,221.7876731448021
IMF.STA:CPI(4.0.0),PER.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.3693109533385,107.1021968961927,110.0666750277473,113.822090321437,117.6898696070839,121.8763061511714,125.5263802024014,127.4207668793024,130.2904378926432,132.8993893308961,138.576404455789,150.1249550055681,159.8164418432999,163.0250883632187
IMF.STA:CPI(4.0.0),PRY.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,108.2539682539683,112.233296419343,115.2454780361757,121.0409745293467,124.8283499446291,129.9298634182356,134.6105574012552,139.9621483942416,143.8210409745293,146.3631007751939,153.3709413067552,168.3484828349944,176.1464230343301,182.9023477297897
IMF.STA:CPI(4.0.0),GTM.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,106.2141239306709,110.2309376852451,115.0186766104912,118.9504309957145,121.7918241216232,127.2096627777193,132.8381008047733,137.8220028537746,142.9213948803979,147.5155182549246,153.8012301252103,164.3906420439436,174.5936720522499,179.6043839106887
IMF.STA:CPI(4.0.0),BOL.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,109.8844641982388,114.8464102656009,121.434460016488,128.4371004934466,133.6511463971229,138.4936138690753,142.4029535108785,145.6384338745714,148.3175184753575,149.7128038925051,150.8167617373382,153.4505181763981,157.4047661727302,165.4320404216878
IMF.STA:CPI(4.0.0),SLV.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,105.1289237668161,106.9473753627011,107.7576826694804,108.9875692429439,108.1904510683198,108.8439745002155,109.9458608659155,111.1446335770925,111.2283523109361,110.8150386404193,114.6569138642009,122.9106249897134,127.8830320206541,128.9748747032446
IMF.STA:CPI(4.0.0),PAN.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,105.8758024367877,111.9088169789074,116.4155639984279,119.4732502182241,119.63751644926,120.5225158654591,121.5777940433122,122.5037042125819,122.0687133787713,120.1763121343523,122.136031309897,125.6286959027865,127.4960578648542,128.3798931144969
IMF.STA:CPI(4.0.0),HTI.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,106.3327948384904,111.6686186693264,116.9896552027563,121.0119544529083,129.1582864505081,144.0152445329317,159.3962004255065,179.2910955055606,212.8253121713623,261.341632995889,305.3555468908343,409.1273681428189,559.7415384121777,710.5866013445922
IMF.STA:CPI(4.0.0),HND.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,106.7622795731476,112.3098463634299,118.1071671838341,125.3462499053961,129.3044728676303,132.827518353137,138.0534322258382,144.0550972527056,150.3443578294103,155.558919246197,162.5293271777795,177.302656474684,189.1167789298417,197.8278967683342
IMF.STA:CPI(4.0.0),MEX.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.4073782460574,107.6589827476347,111.7569042519337,116.2479851775914,119.4106751167207,122.780095507214,130.1978024767466,136.57664871233,141.5425229699744,146.3504877350581,154.6766720891741,166.890369321443,176.1160036385777,184.4326519839983
IMF.STA:CPI(4.0.0),COL.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.4150334477625,106.6925680557125,108.8445488773645,111.9997758879433,117.5883756026448,126.4233314577921,131.8776300067536,136.1512160369677,140.9478496924599,144.5090873957309,149.5597631998657,164.7808063141328,184.1193243690344,196.2879287437274
IMF.STA:CPI(4.0.0),VEN.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,126.0902123160959,152.6561536428511,214.6947405514938,348.1675623293108,772.0200863360053,2740.273984670961,,,,,,,,
IMF.STA:CPI(4.0.0),SXM.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,104.584754356504,108.7840249003468,111.5347898456247,113.6391776936284,114.0142178502603,114.1415519566739,116.6435463148526,,,,,,,
IMF.STA:CPI(4.0.0),MSR.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.6677781145802,108.6083287070308,109.5524350245734,109.1345323524106,107.8829962857228,107.6176757682784,108.9014672474805,110.3321602392281,109.1505611165795,107.0833094935735,109.8768567935125,113.151574361996,111.9188790610707,115.3550970501787
IMF.STA:CPI(4.0.0),DMA.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,101.1312313652648,102.5033510678685,102.4557775745301,103.2746557586344,102.4031963450507,102.5484206931365,102.8522233523504,103.8696284116412,105.4324752901598,106.7190302758074,109.0977049427299,112.2450671072789,117.9547209305833,121.0094399765259
IMF.STA:CPI(4.0.0),GRD.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.0334728033474,105.5173801094304,105.47095268748,104.433537174123,103.8952365626007,105.6099130994529,106.5693350740265,107.4262615626007,108.0688314934021,107.2683304312843,108.5764805278404,111.3783392339878,114.381235918893,115.6235918892823
IMF.STA:CPI(4.0.0),GUY.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,104.9777356370697,107.4887350617123,109.5323665918695,110.466272954109,109.3596943773265,110.2739502383595,112.3742898191079,113.815875399987,116.1914755109034,117.3456484545358,123.2514856657742,130.7883824201658,134.4780578593351,138.3832364657481
IMF.STA:CPI(4.0.0),BRB.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,109.4322024017722,114.3931444561035,116.4683554777845,118.52926677929,117.2102850402637,118.7128366561735,124.2450740352104,128.8096070887257,134.0911740701877,,,155.64882826163,170.8900716796527,170.1001679225245
IMF.STA:CPI(4.0.0),CUW.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,102.3325315256217,105.5907865004741,106.9975945768642,108.6012100007286,108.083679568482,108.0326554413584,109.7456082804872,112.5810919163201,115.5332021284347,,,,,
IMF.STA:CPI(4.0.0),AIA.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,104.7241951050509,106.1991140587493,106.3550199213047,106.0852780321216,105.0533297037789,104.505122126259,105.8576059788661,106.2560320720632,107.1221757529263,106.6148630255636,108.5302779083868,114.5586379271944,118.4612338835408,117.884629661709
IMF.STA:CPI(4.0.0),ATG.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.4567496723461,106.9503604193972,108.0834971603321,109.261003713412,110.3197356924422,109.7797892092618,112.4501692878987,113.807620427883,115.4366126106557,116.1592339237618,118.5555947209793,127.484109443389,133.9439060302464,142.2469106041572
IMF.STA:CPI(4.0.0),MTQ.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,102.557787208406,104.0763349310274,105.3645311904741,106.1681034100876,106.3160599268191,106.0555855799984,106.652727449921,,,,,,,
IMF.STA:CPI(4.0.0),GLP.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,102.5748984989342,104.5023130743988,105.456732682901,105.8291243929838,106.1457900276858,106.0458369083528,,,,,,,,
IMF.STA:CPI(4.0.0),JAM.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,107.555856465809,114.949221394719,125.6872037914691,136.0866621530128,141.1103588354773,144.427894380501,150.7515233581584,156.3845633039946,162.4915368991198,170.9846084651621,181.0090640448604,199.742721733243,212.6743398781314,224.1841570751523
IMF.STA:CPI(4.0.0),URY.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,108.0928320630299,116.8459364562816,126.8656332962234,138.127943821187,150.0984841997088,164.5670977134538,174.8000342553738,188.0962576004111,202.9219833861437,222.7198766806543,239.9760212383318,261.8243497146013,277.1910920466577,290.6324863297191
IMF.STA:CPI(4.0.0),BHS.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.1987814166032,105.2352726911487,105.9955078596106,107.6000216758854,109.6029778181882,109.2233383884446,110.8815747655321,113.3939998595428,116.2189111822809,116.2636799829583,119.6410383060545,126.3474046475154,130.2046845138723,130.7374332419323
IMF.STA:CPI(4.0.0),ABW.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,104.316297421952,104.9708529722981,102.4808758541627,102.91277219904,103.4013645784572,102.4384952209171,101.3851388310483,105.0614059522266,109.534355432857,,,,,
IMF.STA:CPI(4.0.0),KNA.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,105.8351651957086,106.6988746349947,107.8800157485482,108.1474129728667,105.6579940286755,104.9320843859707,105.6612749762133,104.5654384986385,104.2208304816431,103.0043180304473,104.2359291971523,107.0171265461466,110.8238459267038,
IMF.STA:CPI(4.0.0),ISR.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.484949197607,105.2226759092204,106.8749406514102,107.3877124679518,106.7419998100845,106.1532617984996,106.4286392555313,107.2737631753869,108.1853575159054,107.5206533092774,109.1659559272634,113.9801511246538,118.7739471898517,122.4049927200867
IMF.STA:CPI(4.0.0),TTO.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,105.1071328926456,114.8403491391622,120.8118376012682,127.6792876203383,133.6306949793023,137.7340491993521,140.3239787765129,141.7532757475186,143.1715781264399,144.0291563090432,146.9950442593506,155.5624834058513,162.7639412213036,163.6215194039071
IMF.STA:CPI(4.0.0),SUR.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,117.7117796414558,123.605447410941,125.982919135185,130.2454412556743,139.2244364084018,216.3720212688697,263.9672514928289,,294.6822343185143,397.4962302694158,632.4946605525733,964.2129827467439,1461.624580684477,1698.840636219973
IMF.STA:CPI(4.0.0),CYP.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.2894493956421,105.7570902217332,105.3347411635273,103.9074671608839,101.7285299742308,100.2746597333491,100.807886777964,102.2549751168474,102.5109919172826,101.8565383744483,104.3480396210672,113.108561527348,117.1141223950835,119.2224461787994
IMF.STA:CPI(4.0.0),VCT.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.1860311155246,105.8672624958624,106.7196292618339,106.9265143992056,105.0728235683548,104.9155908639523,107.1747765640516,109.6656736180072,110.6669976828865,109.9718636213175,111.7014233697451,118.0238331678252,123.4111221449851,127.8881165177094
IMF.STA:CPI(4.0.0),LCA.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,102.7694079414409,107.0627395920427,108.6350256318809,112.4556711556425,111.3495561027938,107.9219744061034,108.0344961002722,110.1256322593462,110.7193058423376,108.7752870417089,111.3975362821093,118.5026348463473,123.3264128404448,123.1904040624157
IMF.STA:CPI(4.0.0),CYM.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,101.3254357577966,102.5301429581833,104.7454209852319,106.0798557728523,103.5896017727077,102.9418991289646,,,,,,,,
IMF.STA:CPI(4.0.0),IRN.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,126.2933856738608,160.7169372901514,219.5442149316799,256.0029418603075,287.9640939387514,308.8283178016832,333.6733224223631,393.7816295831525,550.9294252912057,719.4815396700706,1031.657501963864,1480.30950510605,2140.219429169944,2834.846294841585
IMF.STA:CPI(4.0.0),BHR.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,99.59995930251192,102.346325293152,105.7237658681541,108.5228588277321,110.5290421570588,113.6092582929996,115.1846986747914,117.5893743600114,118.7721118604914,116.0193231491991,115.3158755024363,119.4969305296746,119.586099949687,120.6858561298373
IMF.STA:CPI(4.0.0),TLS.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,113.499840238577,126.8931728618596,140.959164980296,141.9829161785067,142.7677920971349,140.856789860475,141.6416657791032,145.3760086520921,146.7698923435203,147.4971360086133,152.951463496811,163.6661868291812,177.4474542826937,181.1079140636619
IMF.STA:CPI(4.0.0),IND.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,108.9117933648337,119.235538897084,131.1804102823405,139.924446113916,146.7905015225736,154.0540131053937,159.1811977520902,165.4510688995039,171.6215760033771,182.9888225844253,192.3787246990149,205.2662411462347,216.8620250274262,227.6032781341684
IMF.STA:CPI(4.0.0),KOR.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,104.0259650043609,106.3010867635594,107.6844333469693,109.0571670049938,109.8274724256902,110.8946503137566,113.0508108274994,114.7192591792156,115.158634290169,115.7773678401346,118.6698724133407,124.709591769001,129.1959647728062,132.1955634112643
IMF.STA:CPI(4.0.0),IDN.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,105.3560477898215,109.8647598512149,116.9098521904056,124.386150032818,132.3009914297878,136.9656666082217,142.1824122739167,146.7298983605274,151.1766750713524,154.0807306315065,156.4845901883267,163.0717524181213,169.0567000469113,
IMF.STA:CPI(4.0.0),HKG.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,105.3052489299392,109.5742284298266,114.3275512502817,119.3849966208606,122.9556206352783,125.9179995494482,127.7990538409552,130.8740707366524,134.6474431178194,134.9853570624015,137.102951115116,139.6823608920929,142.6109484118045,145.0777202072539
IMF.STA:CPI(4.0.0),AFG.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,111.8041858089129,119.0057313466162,127.7952230737319,133.768366733582,132.883209191418,138.7086655088913,145.6107414385931,146.5224818572093,149.8959752080322,158.2929797280159,166.4184803584343,189.2379527511203,180.4484010808902,168.5366671397985
IMF.STA:CPI(4.0.0),KWT.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,104.8394034987095,108.2520791511327,111.1557212503584,114.3891597361629,118.1316317751649,121.9099512474907,124.5576317808031,125.234145567617,126.6015121145745,129.2623335032482,133.6877968545496,139.0094396318971,144.0723914409015,148.2484027870145
IMF.STA:CPI(4.0.0),WBG.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,102.8772435849594,105.7362923898588,107.5596083140253,109.4236003001285,110.9901210998959,110.7469344137714,110.9823502068846,110.7658150141619,112.5161179654373,111.6887509436508,113.070878047339,117.3011127817275,124.1879804984498,190.8386088559645
IMF.STA:CPI(4.0.0),JOR.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,104.1624416292779,108.86561499113,114.1179706464297,117.4267972976772,116.3971388289156,115.4910680421479,119.3298692727982,124.6547392567817,125.6040026068044,126.022633651656,127.7190164750947,133.1204525262492,135.8958407228194,138.0111900970214
IMF.STA:CPI(4.0.0),BRN.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,100.1379115631695,100.249831963168,100.6400093749166,100.4315751278975,99.94112012114832,99.66259094965248,98.4063383634936,99.41505429921792,99.02681657210658,100.9482536658205,102.6981047110301,106.4797059860515,106.8599070151571,106.4445701638072
IMF.STA:CPI(4.0.0),SGP.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,105.2511562463937,110.0725483581745,112.6751014212288,113.8392262692079,113.2450132713118,112.6450301378619,113.2947252083907,113.7918445791796,114.4379887970599,114.2410274392138,116.8869674830669,124.0532539125957,130.0496453585917,133.1571962467486
IMF.STA:CPI(4.0.0),LAO.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,107.5689885610998,112.1461853985321,119.2914979339132,124.2173338439427,125.8040292631578,127.8130092499525,128.8680782989998,131.4974931211675,135.8665746671725,142.8013033175336,148.1643781486811,182.1773224817997,239.0715447261266,294.3701547590729
IMF.STA:CPI(4.0.0),NPL.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,109.2270754612595,119.559749053898,130.3681453932483,141.2723387490223,152.3889304650662,165.7844406346922,171.7976016269086,178.7745829248021,188.7299771622212,198.2653074036462,206.4926832785362,222.2910084923024,238.1064791752929,
IMF.STA:CPI(4.0.0),PLW.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,104.6746987951807,108.4578313253012,112.0963855421687,116.7951807228916,117.9036144578313,116.6746987951808,118.3291322525958,120.8255274477982,121.1485903554127,121.4129145525518,124.5848049182207,139.9743470627629,157.9190231129828,161.4433457415039
IMF.STA:CPI(4.0.0),MAC.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,105.8062461669104,112.2682455064396,118.4436476859933,125.6073972731991,131.3358022361655,134.4470915695617,136.0982686229184,140.1872906543378,144.0451478982875,145.2139453696279,145.2523607963391,146.770288671746,147.4694795714016,
IMF.STA:CPI(4.0.0),LKA.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,106.7167684358854,114.7663222170033,122.6948966039172,126.5953701672957,131.3659493717356,136.5665807895736,147.0878581964305,150.2282394756635,155.5288830361523,165.1000450878272,176.681451206782,264.5294159732673,308.2856875536718,306.9620319743164
IMF.STA:CPI(4.0.0),THA.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.8087905813963,106.9385212930683,109.275006271572,111.3459226131261,110.3433361303102,110.5509467911176,111.2868091511221,112.4707867780622,113.265649996346,112.3074937878315,113.6893200400587,111.8581485534364,121.3415402679181,122.998829587024
IMF.STA:CPI(4.0.0),PHL.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,104.7184170471842,107.8882057396326,110.6746211173953,114.6564985765853,115.4295041329969,116.876642442093,120.2113524587059,126.5937898328531,129.6219960073846,132.7240608690998,137.9363739360635,145.9658683570338,154.6917446857359,159.661379209096
IMF.STA:CPI(4.0.0),KHM.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,105.4784474961745,108.5735185556375,111.7673444245087,116.0767451979252,117.4974455748556,121.0448576610754,124.5704532454643,127.6337467672467,130.1131280341438,133.9388380176683,137.8508362381262,145.2171750257887,148.3066239055082,
