Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
Bangladesh;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;37;36,6;35,6;35,3;35;33,9;33;29,6;29,4;29,1;28,3;28,7;28,2;27,7;28,3;29,6;32;34,5;35,6;37,9;39,3;40,1;40,3;40,7;41,7;42,8;43,1;43,9
Barbados;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;54,3;54,9;55,3;54,9;49,9;49,7;56,6;62,3;65,5;65,3;64,5;66,3;67,7;68,6;73,8;88,2;95,3;99;108,8;118,4;122,4;131,6;135,3;142,8;114,2;107,6;138,2;121,6;113,7;111,5;102,9;97,7;92,5;87,5;82,7;78,2;73,9
Belarus;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;9,2;8,1;12,3;15,8;20,3;32,5;36,8;58,2;36,9;36,9;38,8;53;53,5;53,2;47,5;41;47,5;41,2;40,8;40,7;44,4;42,9;43,1;42,5;41,8;41,1;40,3
Belgium;76,8;89,7;99,6;110,3;114,6;119,4;124,7;129,2;129,7;126,4;130,3;131,8;134,7;138,9;137,1;131,3;129;124,3;119,2;115,4;109,6;108,2;105,4;101,7;97,2;95,1;91,5;87,3;93,2;99,9;100,2;102,7;104,3;105;106,5;105,5;105,4;102,4;100;97,5;111,1;108,4;102,6;103,1;104,5;106,4;110;113,6;117,2;121,2;125,6
Belize;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;49,5;53,2;67,2;70,6;72,7;71,3;66,4;64,6;69,7;68,5;66,4;63,4;62,9;61,5;65,1;70,4;78,1;78,8;78,4;103,3;82,5;66,8;67,2;61;59,5;58,8;58,2;57,8;57,4;57
Benin;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;53,6;39,4;39,6;38;30,8;23,4;21,5;27;8,4;14,3;18,3;18,7;21;21,9;19,5;18,5;22,3;30,9;35,9;39,6;41,1;41,2;46,1;50,3;54,2;54,9;54;52,5;51,2;50;48,9;47,9;46,9
Bhutan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;60,2;53,2;38,7;36,8;33;36,4;39,2;44;52,4;57,7;68,5;76;80,8;80,1;67,3;60,6;61;55,8;62,3;71,5;92,4;89,8;90,2;107,5;104,1;107,3;99,7;114,9;123,3;117,3;115,4;107,8;102,9;116,7;116,2;113,6;125,5;119,6
Bolivia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;74,3;83;86,7;95,6;89,8;82,2;54,4;40;36,8;39,2;37,6;35,3;35,4;36,1;37,6;40,9;46,5;51,3;53,1;58,6;78;81,4;80,1;90,8;95;92,4;92,5;no data;no data;no data;no data
Bosnia and Herzegovina;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;54,4;56;34,6;35,1;31,1;27,6;25,5;24,9;20,6;18,2;30,3;36,4;42,2;40,9;43,6;43,8;47,1;46,4;44,9;38,6;34,9;33,2;37,1;35,6;31;31,6;32,8;33,8;35,7;37,1;37,8;38;38,1
Botswana;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;11,3;9,3;8,2;7,5;8,4;7,1;10,7;7,5;6,1;5,9;7,8;22,4;26,5;27,9;26,4;23,8;23,9;24,5;22,3;19,6;19,6;21,5;23,5;22,3;21;22,5;32,6;43;49,3;53,6;55,6;56,6;57,9
Brazil;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;62,2;67,3;76,1;71,5;68;67;64,6;63;61,4;64,7;62,4;60,6;61,6;59,6;61,6;71,7;77,4;82,7;84,8;87,1;96;88,9;83,9;84;87,3;92;96;98,1;99,1;99,4;99,4
Brunei;no data;no data;no data;no data;no data;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0,7;0,9;1,1;1,1;2,1;2,1;2,2;3,2;3;3;2,8;2,6;2,6;2,9;2,5;2,1;2,3;2,3;2,2;2,1;2;1,9;1,8;1,7
Bulgaria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;67,3;78,7;73,3;67,1;53,4;45,4;37,8;28,5;22,6;17,6;14,7;14,5;14,1;14,3;16,5;17,2;26,3;25,4;27;22,9;20,1;18,4;22,7;22,4;21,5;21,9;23,4;28;29,5;31,2;32,9;34,6;36,5
Burkina Faso;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;43,3;39,7;40,7;39,2;20,1;22,4;24,9;25,9;22,7;28,4;25,2;25,9;26,1;31,3;32,9;33,9;38,1;41,7;43,6;55,4;56,4;52,7;52,7;50,2;49,8;49,9;49,3;48,6;48,2
Burundi;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;136,4;127,4;159,1;172;172,7;137;130,3;129,6;102,5;25,7;46,9;42,7;41,4;37,9;38;39,9;46,1;46,9;53;60,1;65,9;66,5;68,3;47,2;43,2;35,3;33,2;33,3;34,2;35,9;37
Cabo Verde;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;79,3;72,9;66,4;71,9;62,2;64,7;65,6;67,8;66,7;66,2;59,6;57,5;58,8;73,5;71,6;82,9;93,5;105,6;115,6;115,4;112,8;112;109,4;143,8;149,1;124;114;113,7;109,6;103,9;97,6;91,9;86,5;81,8
Cambodia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;30,1;31,4;37,2;34,6;34,9;33,5;37,8;39,8;38,7;31,7;26,7;25,1;23;23,7;23,4;23,8;24,9;24,4;24,2;23,3;21,8;22,6;21,1;20,8;25,2;25,9;25;25,7;26,6;29,1;30,7;31,9;33;34;35
Cameroon;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;67,8;68,4;75,9;62,2;56,6;51,5;51,7;43,8;18,4;13,8;11,2;11,3;14;15;14,9;17,5;20,7;31,6;32,1;36,5;38,3;41,6;44,9;47,2;45,6;43,2;42,7;39,9;38,6;37,1;35,6;34,2;33
Canada;44,6;46,1;51,7;57,2;60,2;65,2;69,3;69,8;69,7;71;73,7;81,7;88,2;94,7;97,5;100,1;100,2;95,3;93,3;89;80,4;81,5;79,6;75,9;71,9;70,6;69,9;67,2;70,4;81,8;84;84,3;87,2;87,6;85,5;92;92,4;90,9;90,8;90,2;118,1;112,6;104,2;107,7;110,8;112,5;110,9;109,4;107,9;106,2;104,1
Central African Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;96,1;85,3;84,2;94,7;103,1;98,5;95,9;99,7;103;46,7;47,9;35,8;20,3;19,9;19,7;31,5;51,8;62,2;59,8;53,9;50,3;50;48,2;44,4;48,5;51;58,2;60,7;58,3;53;47,4;43,9;43,2;41,8
Chad;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;44,7;52,4;43,5;42;34,4;25,2;22;20,1;17,6;15,7;23,9;22,9;22,3;19,9;22,3;29,5;31,3;40,3;38,9;33,4;38,2;41,1;41,6;32,2;32,6;33,8;33,9;33,8;33;31,2;28,9;28,3
Chile;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;37,1;30,5;28,1;22,6;17,3;14,6;12,8;12,1;13,3;13,1;14,3;15;12,6;10,3;7;5;3,9;4,9;5,8;8,6;11,1;11,9;12,8;15;17,4;21,1;23,7;25,8;28,3;32,4;36,4;37,9;39,4;42;43;43,4;43,2;43,5;43,5;44,3
China;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;21,4;21,2;20,4;20,4;21,6;22,7;24,3;25,6;26,4;26;25,9;25,2;28,7;26,7;34;33,3;33,2;33,8;36,4;39,3;40,8;49,7;53,9;55,6;59,4;69;70,1;75,5;82;88,3;96,3;102,3;105,9;109,2;112,6;116
Colombia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;23,3;25,3;27,5;34;38;41,1;47,5;45;41,5;38,5;36;32,7;32,4;35,4;36,5;35,8;34;37,6;43,3;50,4;49,9;49,4;51,8;51;65,3;64,4;61,3;55,5;61,3;59,7;59,9;59,9;59,8;59,4;58,9
Comoros;no data;no data;no data;no data;150,1;142,8;136,6;128,8;119,9;113,7;108,1;103,9;101;95,7;87,8;77,7;75,4;70,9;69,4;64,5;60,7;53;48,2;44,4;42,4;39,9;38,5;35,6;33,2;31,7;30,5;27,7;25,1;10,3;11,8;14,3;16,2;18,9;17;21,2;24,3;26,3;28,2;28,7;30,8;32,5;34,9;35,8;37,6;38,1;37,8
Democratic Republic of the Congo;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;135;185,4;136;114,5;164,1;112;107,5;85,1;80,3;91,6;31,8;29,3;25,1;23,8;22,8;25,5;33;23,2;19,3;19,4;24,9;24,7;22,6;25,1;19,3;16,3;13,8;11,5;9,2;7,2;5,8
Republic of the Congo;no data;no data;no data;no data;no data;no data;no data;no data;no data;0;0;0;0;0;0;0;0;0;0;0;145;180,1;163,5;185,3;122,6;99,8;94,7;93,8;69,6;83,8;43,5;34,4;30,2;33,9;42,3;74,2;84,6;88,5;71,2;77,6;102,5;97,8;92,5;99;95,4;91,4;87,1;80,3;72;63,3;55,2
Costa Rica;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;33,7;30,6;40,7;39;38,9;39,6;41,4;40,6;41;37,3;33;27;24;26;28,1;29,5;33,7;35,1;37,4;39,8;44,1;47,1;51,8;56,4;66,9;67,6;63;61,1;59,8;59,7;59;57,9;56,7;55,3;53,7
Croatia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;23,3;30;35,4;36,6;36,5;37,8;40;40,9;38,4;37,1;38,9;47,9;56,8;63,1;68,9;79,5;83,2;82,8;79,3;76,2;72,8;70,9;86,5;78,2;68,5;61,8;57,6;55,9;55,5;55,2;54,7;54,4;54
Cyprus;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;46,7;48,8;53,5;55;55,7;56;57,5;61;63;64,7;64;59;53,1;44,1;52,8;55,3;64,8;79,2;102,7;113;111,6;106,8;96,4;100,7;92,3;113,6;96,5;81;73,6;65,4;60,3;55;49,8;44,6;41,2;38,3
Czech Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;13,5;11,5;12,1;13,9;15,1;16,9;22,6;25,7;28,1;28,3;27,7;27,6;27,3;28,2;33,4;36,7;39,4;43,8;44,1;41,5;39,5;36,2;33,8;31,7;29,6;36,9;40,7;42,5;42,4;43;44,2;45,6;46,3;47,4;48,7;50,3
Côte d'Ivoire;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;84,2;75,2;78;74;71,2;63;56,4;56,7;58,2;57,5;53,5;51,2;46,5;45,6;50;24,7;24,6;26,7;29,2;31,1;32,6;35,3;37,2;46,3;50,2;56;57,5;59,3;58,1;56,4;54,9;53,1;52;50,7
Denmark;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;66,7;78,7;75,3;71,5;68,3;64,4;60,3;56,8;53,6;50,1;50,3;48,2;46,2;39,4;33,2;29,5;35,5;43;46,1;50;48,7;47,8;48,7;44,6;41,7;40,2;38,5;38,3;46,3;40,5;34,1;33,6;28;26,6;26,1;25,7;25,6;25,8;25,4
Djibouti;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;29,5;27,9;25,7;25;24,6;26,9;40,3;45,9;48;47,5;41,1;42,1;40,3;38,3;35,4;33,3;31,2;28;25,1;21,8;19;16,4
Dominica;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;54,1;56,9;54;53,4;55,9;57,4;53,7;47,7;56,3;61,8;68,9;98,5;97,9;94,9;86,2;82;77,4;71,8;64,4;62,5;66,8;69,7;73,1;73,9;72,1;68,9;76,5;84;85,6;97,7;112,5;108,5;104,3;99,9;101;97,8;95,2;92,5;89,9;87,2;84,3
Dominican Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;13,8;13,2;16;16,7;20,4;21,5;48,2;34,3;38,3;36;32,9;33,6;36,8;37,4;39,1;42,4;46,8;45;44,8;46,7;49,5;50,8;53,5;71,8;62,8;59,6;60,5;58,8;58,2;57,1;55,5;53,5;51,3;49,1
Ecuador;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;63,8;55;47,2;40,2;35,8;33,1;29,6;24,9;19,7;18,4;18,6;19,3;23,4;28,2;36,4;46,1;47,4;49,5;52,1;63,6;61,8;57,2;54,3;55;no data;no data;no data;no data;no data;no data
Egypt;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;73,8;72,4;71,7;79,1;85,8;97,1;96,5;98,3;85,9;76,3;66,8;69,5;69,6;72,8;69,9;79,8;80,9;83,8;91,6;97,8;87,9;80,1;86,2;89,9;88,5;95,9;90,9;86,6;85,1;82;78,7;75,3;71,4
El Salvador;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;43,3;36,4;31,9;30,5;28;28,5;27,8;25,7;28;29,6;37,8;43,8;46;46,8;46,3;52,6;52,2;54,2;65,8;66,8;65,6;70;69,7;71,8;73,5;75,2;77,1;77;77,9;95,4;88;83,3;84,7;87,6;87,9;86,5;84,6;83;81,1;78,9
Equatorial Guinea;146,2;221,1;260,7;259,3;257,9;183,8;152,5;141,3;154,5;187;157;169,5;136,9;152,6;216;136,9;91,2;46,3;59,2;60,5;36,6;25,5;19,4;6,8;4,5;2,8;1,2;0,8;0,5;4,3;7,9;7,2;7,1;6,3;12,6;31,7;41,1;36,2;40,6;43,2;49,4;42,3;29,8;36,3;36,2;35,1;36,5;40,1;44,6;49,8;51,3
Eritrea;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;219,1;238,6;243,4;264;193,5;205,4;199;201,3;259,7;207,1;201,8;171,6;171,6;232,4;204,5;271,4;251,2;290,4;267,1;260,4;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data
Estonia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;8,7;7,3;6;5,4;5,9;5,1;4,9;5,7;5,6;5,2;4,7;4,7;3,9;4,7;8;8;7,6;11,1;11,4;11,6;10,8;10,2;9,4;8,5;9;19,1;18,4;19,1;20,2;23,6;25,4;27,3;29,3;30,3;32,6;35,2
Eswatini;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;14,5;12,7;12,1;11,2;12,3;15,2;16,2;17,7;21;16,7;17,2;14,6;13,2;14,2;15,7;14,2;10,3;13,8;14,2;14,4;14,7;13,6;15,4;19,8;21,9;26,5;31,4;38,7;37;40,7;37,3;36,4;37,8;39;39,2;39,4;39,8;40
Ethiopia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;87,9;141;155,2;146,6;132,8;80,3;89,3;97,8;93,6;97,3;107,4;103,7;103,1;78,2;79,6;55,7;56,1;30;39,4;44,6;39,4;44,1;44,2;50,7;51,8;55,3;58,4;54,7;53,7;53,8;46,9;38,7;32,3;41,8;37;34,6;32,7;31;29,5
Fiji;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;44,3;45,9;48,8;49,1;50,3;54,4;37,9;34,7;35,9;41,9;44,5;46,4;45,9;45,3;50,3;46,4;47,9;51,5;53,4;51;48,6;47,4;46,2;44,3;44,6;43,4;45,8;49;63,6;83,3;91,2;83,3;80;78,2;78,2;78,1;77,8;77,4;77,2
Finland;10,9;11,5;13,9;15,4;15,2;15,8;16,4;17,6;16,5;14,3;13,9;21,9;39,3;54,2;56,2;55,2;55,4;52,2;46,8;44;42,4;40,9;40,1;42,7;42,6;39,9;38;33,9;32,6;41,5;50,1;52;57,9;60,8;64,8;68,8;68,6;66,6;65,3;65,2;75,4;73,2;74;77,3;82,5;86,4;88;88,6;89,4;90,1;90,5
France;21,3;22,6;26,2;27,7;30,2;31,9;32,4;34,8;34,7;35,5;36,8;37,8;41,7;48,2;51,6;57,8;60,6;62;62,1;61,4;59,7;59,3;61,3;65,4;66,9;68,2;65,4;65,5;69,8;84,1;86,3;88,7;91,7;94,5;96,1;96,9;98,1;98,7;98,5;98,1;114,8;112,7;111,3;109,7;113,1;116,3;119,1;121,6;123,9;126,1;128,4
Gabon;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;90;89,3;87,9;90,1;71,3;73,4;64,5;57;87,6;73,1;72,5;81;81,1;70,2;60,3;41,7;34,9;39,2;20,1;26;21,3;21,4;21,4;31,1;34,1;44,7;64,5;62,9;62,3;59,8;83;72,9;65,6;70,6;73,4;79,2;83,9;87,4;90,9;94,7;98,6
Gambia, The;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;73,3;75,2;93,9;91,7;81,3;82,6;87,3;38;39,5;38,9;42,9;49,2;49,5;58,2;71,1;69,4;79,3;87;83,6;83;85,9;83,1;83,9;75,7;72,9;67,5;63,1;57,9;52,8;48,2;44,4
Georgia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;58,5;53;50,3;54,6;44,3;35,3;28,3;22,5;26,3;33,6;31,4;27,7;28,1;28,9;30,3;36;39,5;38,9;38,2;40;59,6;49,1;39,2;38,9;36,1;35,8;35,3;35,6;35,9;35,7;35,8
Germany;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;39,5;41,9;45,5;47,9;55,3;58,1;59,2;59,8;60,3;59,2;58,1;59,8;63,3;65;67,1;66,4;63,7;65,2;72,3;81;78,5;79,8;77,4;74,5;71,2;68,3;64;60,8;58,7;68;68,1;65;62,9;63,9;65,4;67;68,5;70,4;72,5;74,8
Ghana;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;17,8;17,3;21,3;34,1;50,6;47,6;42,9;45,2;37,6;51,7;74,5;57,8;54,1;49,3;38,4;31,7;17,3;21,1;23,2;25,4;32,9;31,2;35,5;42,9;50,1;53,9;55,9;57;62;58,3;72,3;79,2;85,7;76,4;70,5;66,4;62,7;59,9;57;54,1;52
Greece;22,8;27,1;29,7;34,1;40,6;47,3;47,8;53,2;57,9;60,7;74,2;75,7;81,1;101,7;99,7;100,4;103,7;102,6;100,8;102,8;108,9;110,5;107,9;104,3;105,5;109,9;105,3;104,6;110,9;128,5;147,8;175,1;164,3;180,5;182,8;180;183,7;182,6;189,6;183,7;209,9;197,8;178,4;165,2;150,9;142,2;137,9;134,5;131,4;128,4;125,1
Grenada;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;42;40,1;45,3;45,7;43,1;43,9;41,4;40,3;34,5;41,6;44,6;79,1;79,6;94,7;87,3;92,9;89,1;83,9;91,1;96,2;102,8;101,5;105,4;99,3;90,1;81,6;70,4;68,5;62,7;89,5;86,6;78,8;75,2;73,2;71,4;66,5;65,2;62,9;60,7;58,2
Guatemala;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;18;19,1;17,4;19,8;20,6;20;20,9;20,8;19,6;22,8;24;23,8;24,6;25;24,7;24,8;24,9;25,1;26,4;26,4;31,5;30,6;29;27,2;26,5;27,2;27,7;28,1;28,3;28,3;28,3
Guinea;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;71,6;70,9;62;68,9;71,3;66,5;67,7;67,9;75,9;92,3;91,5;90,4;82,6;81,6;86,9;97,9;95,2;60,8;58,5;61,3;71,1;53,8;26,9;34;35,2;44,4;43;41,9;39,3;38,6;47,9;42,9;40,6;37,3;47,8;39,6;35,1;31,5;27,9;24,8;22,9
Guinea-Bissau;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;94,3;109,1;109,9;217,1;204,4;197,5;183,4;202;203,7;190,4;164;148,8;148,3;61,7;45,6;47,4;49,6;60,1;56,3;59,1;51,8;59,1;65,1;77,6;78,8;80,7;79,4;82,3;79,4;76,7;74,1;72;70;68,1
Guyana;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;101,3;108;97,1;97,2;104,6;105,1;95,6;91,8;90,7;74,5;47;47,6;51,7;52,5;51,2;44,3;41,1;38,3;41,8;43,8;42,9;47;43,6;51,1;41,2;24,8;26,7;24,3;27,7;28,4;27,5;26,8;25,6;25,3
Haiti;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;26,2;24;24,1;32,5;28,8;32;37,8;30,4;29,7;32,2;24,4;33,9;19,4;24,9;22,3;24,1;25,1;21,4;23,9;24,4;22,5;24,1;26,5;22,3;28,9;29,5;28,5;14,9;11,8;10,3;10,3;10,3;10,9;11,4
